Paragraphs
Brand new Public Health | REF39347N | Permanent Exempt 9910-Public Service Trainee
"Brand new One application, many opportunities Citywide | REF38716V | Permanent Civil Service 1654-Accountant III"
Brand new Public Utilities Commission | RTF0141710-01110708 | Temporary Exempt 0933-Manager V
"Brand new One application, many opportunities Public Health | REF38125C | Permanent Civil Service 2624-Dietitian"
Brand new Police | RTF0138618-01151834 | Permanent Exempt 1063-IS Programmer Analyst-Senior
Brand new Recreation & Park Commission | RTF0143994-01120027 | Permanent Exempt 0953-Deputy Director III
"Brand new One application, many opportunities Emergency Management | REF39633W | Permanent Civil Service 8238-Public Safety Communications Dispatcher"
Brand new Public Health | RTF0145496-01106391 | Permanent Civil Service 0923-Manager II
Brand new Public Utilities Commission | RTF0142209-01073966 | Permanent Civil Service 1839-Water Conservation Administrator
Brand new Public Utilities Commission | REF37660Y | Temporary Exempt 7350-Transmission and Distribution Line Worker
Brand new Public Utilities Commission | RTF0144700-01114884 | Permanent Civil Service 3424-Integrated Pest Management Specialist
Brand new Public Health | RTF0144962-01118444 | Permanent Civil Service 2330-Anesthetist
Brand new Public Health | REF4248L | Permanent Exempt 2232-Senior Physician Specialist
Brand new Department of Early Childhood | RTF0146288-01112286 | Temporary Provisional Permanent Civil Service 9774-Senior Community Development Specialist I
Brand new Public Utilities Commission | RTF0140802-01067924 | Permanent Exempt 1823-Senior Administrative Analyst
Brand new Homelessness and Supportive Housing | RTF0146118-01144823 | Temporary Provisional Permanent Civil Service 1314-Public Relations Officer
Brand new Homelessness and Supportive Housing | RTF0143803-01127966 | Temporary Exempt 2586-Health Worker II
Brand new Human Services Agency | RTF0142097-01088615 | Temporary Provisional Permanent Civil Service 2830-Public Health Nurse
"Brand new One application, many opportunities Municipal Transportation Agency | REF36779U | Permanent Civil Service 7381-Automotive Mechanic"
"Brand new One application, many opportunities Public Health | REF36472X | Permanent Civil Service 2112-Medical Record Technician"
"Brand new One application, many opportunities Public Health | REF36472X | Permanent Civil Service 2112-Medical Record Technician"
Recently updated : 2d Port | RTF0144622-01156172 | Temporary Exempt 7395-Ornamental Iron Worker
Recently updated : 2d Public Health | RTF0144423-01125218 | Permanent Exempt 0942-Manager VII
Recently updated : 2d San Francisco International Airport | RTF0146308-01134804 | Temporary Provisional Permanent Civil Service 9234-Airport Security ID Technician
Recently updated : 2d Public Health | REF20091B | Temporary Exempt 2542-Speech Pathologist
Recently updated : 2d Public Utilities Commission | RTF0144601-01148814 | Permanent Exempt 5203-Assistant Engineer
Recently updated : 2d Economic & Workforce Development | RTF0144045-01134751 | Permanent Exempt 1823-Senior Administrative Analyst
Recently updated : 3d Mayor | RTF0145818-01099318 | Permanent Civil Service 1823-Senior Administrative Analyst
Recently updated : 3d Mayor | RTF0146043-01151288 | Permanent Civil Service 1823-Senior Administrative Analyst
Recently updated : 3d SF Community College District | RTF0145667-01155789 | Permanent Exempt 7345-Electrician
Recently updated : 3d Public Works | RTF0144703-01027037 | Temporary Provisional Permanent Civil Service 3436-Arborist Technician Supervisor I
Recently updated : 3d Homelessness and Supportive Housing | RTF0145368-01147355 | Temporary Provisional Permanent Civil Service 1823-Senior Administrative Analyst
Recently updated : 3d Municipal Transportation Agency | REF39253I | Permanent Exempt 5504-Project Manager II
Recently updated : 3d Public Library | RTF0145909-01122164 | Permanent Civil Service 1062-IS Programmer Analyst
Recently updated : 3d Municipal Transportation Agency | RTF0143866-01152707 | Temporary Provisional Permanent Civil Service 1312-Public Information Officer
Recently updated : 6d Public Health | RTF0145108-01104891 | Permanent Exempt 0943-Manager VIII
Recently updated : 6d Public Works | RTF0145465-01156252 | Temporary Exempt 5506-Project Manager III
"Recently updated : 6d One application, many opportunities Apply now, closes today!  Citywide | REF38560G | Permanent Civil Service 6130-Safety Analyst"
"Recently updated : 6d One application, many opportunities Public Utilities Commission | REF39438H | Permanent Civil Service 7449-Sewer Service Worker"
Recently updated : 6d Public Utilities Commission | RTF0145213-01086891 | Permanent Civil Service 5298-Planner III-Environmental Review
Recently updated : 6d Human Resources | RTF0143962-01118761 | Permanent Civil Service 0932-Manager IV
Recently updated : 6d Human Resources | RTF0143949-01112636 | Permanent Civil Service 0932-Manager IV
Recently updated : 6d Public Health | RTF0135587-01088980 | Permanent Civil Service 0932-Manager IV
Recently updated : 7d Public Utilities Commission | RTF0139204-01076509 | Permanent Civil Service 1824-Principal Administrative Analyst
Recently updated : 7d Mayor | RTF0146230-01149913 | Permanent Civil Service 9775-Senior Community Development Specialist II
"Recently updated : 7d Municipal Transportation Agency | RTF0145081-01102569 | Permanent Exempt 9177-Manager III, Municipal Transportation Agency"
Recently updated : 7d Recreation & Park Commission | REF39395E | Permanent Exempt 1823-Senior Administrative Analyst
Recently updated : 7d City Attorney | RTF0144626-01155484 | Permanent Exempt 8177-Attorney (Civil/Criminal)
Recently updated : 7d Public Utilities Commission | RTF0137706-01146040 | Temporary Exempt 5620-Regulatory Specialist
Recently updated : 7d Human Resources | RTF0141708-01103828 | Permanent Civil Service 0931-Manager III
"8 days Apply now, closes today!  San Francisco International Airport | REF35098U | Temporary Exempt 5380-Student Design Trainee I, Arch., Engr., & Planning"
8 days Public Health | RTF0144518-01125946 | Permanent Civil Service 2453-Supervising Pharmacist
"8 days Municipal Transportation Agency | RTF0145499-01082641 | Permanent Exempt 9174-Manager IV, Municipal Transportation Agency"
"8 days One application, many opportunities Apply by: April 03, 2024  Controller | REF39389B | Permanent Civil Service 1867-Auditor I"
9 days Human Services Agency | RTF0140854-01154872 | Permanent Civil Service 1823-Senior Administrative Analyst
9 days City Administrator | REF39293L | Temporary Exempt 9922-Public Service Aide - Associate To Professionals
9 days Human Services Agency | RTF0143215-01077492 | Permanent Civil Service 1053-IS Business Analyst-Senior
9 days Mayor | RTF0137352-01149565 | Temporary Provisional Permanent Civil Service 1823-Senior Administrative Analyst
"9 days Municipal Transportation Agency | RTF0145852-01128278 | Permanent Exempt 9172-Manager II, Municipal Transportation Agency"
10 days Homelessness and Supportive Housing | RTF0146080-01148268 | Temporary Provisional Permanent Civil Service 1823-Senior Administrative Analyst
"10 days One application, many opportunities Human Services Agency | REF37013D | Permanent Civil Service 2940-Protective Services Worker"
10 days Human Services Agency | RTF0145503-01110492 | Permanent Exempt 2940-Protective Services Worker
10 days San Francisco International Airport | RTF0132092-01136632 | Temporary Exempt 9910-Public Service Trainee
10 days SF Community College District | RTF0141187-01123957 | Temporary Provisional Permanent Civil Service 7120-Buildings And Grounds Maintenance Superintendent
10 days Human Resources | RTF0140868-01103325 | Permanent Exempt 1053-IS Business Analyst-Senior
10 days Public Health | RTF0144523-01112563 | Permanent Exempt 0943-Manager VIII
13 days Port | REF38298Z | Permanent Civil Service 9332-Piledriver Supervisor I
"13 days Port | RTF0143988-01098249 | Permanent Civil Service 9395-Property Manager, Port"
13 days Port | RTF0141657-01013369 | Permanent Exempt 1824-Principal Administrative Analyst
13 days Port | RTF0137406-01010716 | Permanent Civil Service 0922-Manager I
13 days Retirement System | RTF0144571-01155425 | Permanent Exempt 0923-Manager II
13 days Retirement System | RTF0144151-01125090 | Permanent Exempt 0923-Manager II
13 days Retirement System | RTF0140737-01115111 | Permanent Exempt 0923-Manager II
13 days Controller | REF33916R | Permanent Exempt 1053-IS Business Analyst-Senior
13 days Controller | RTF0143563-01156031 | Temporary Exempt 1042-IS Engineer-Journey
13 days San Francisco International Airport | RTF0145104-01127317 | Temporary Provisional Permanent Civil Service 5216-Chief Surveyor
13 days San Francisco International Airport | RTF0142805-01134800 | Temporary Provisional Permanent Civil Service 6137-Assistant Industrial Hygienist
13 days Recreation & Park Commission | REF39251O | Temporary Exempt 9910-Public Service Trainee
